CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
20107,ANCASH,HUARAZ,LA LIBERTAD,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20204,ANCASH,AIJA,LA MERCED,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20905,ANCASH,CORONGO,LA PAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20511,ANCASH,BOLOGNESI,LA PRIMAVERA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21506,ANCASH,PALLASCA,LACABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21705,ANCASH,RECUAY,LLACLLIN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21305,ANCASH,MARISCAL LUZURIAGA,LLAMA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21507,ANCASH,PALLASCA,LLAPO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21407,ANCASH,OCROS,LLIPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21307,ANCASH,MARISCAL LUZURIAGA,LUCMA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21804,ANCASH,SANTA,MACATE,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21105,ANCASH,HUARMEY,MALVAS,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
22003,ANCASH,YUNGAY,MANCOS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20512,ANCASH,BOLOGNESI,MANGAS ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21706,ANCASH,RECUAY,MARCA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20606,ANCASH,CARHUAZ,MARCARA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21009,ANCASH,HUARI,MASIN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
22004,ANCASH,YUNGAY,MATACOTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21205,ANCASH,HUAYLAS,MATO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20305,ANCASH,ANTONIO RAYMONDI,MIRGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21805,ANCASH,SANTA,MORO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21308,ANCASH,MARISCAL LUZURIAGA,MUSGA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21806,ANCASH,SANTA,NEPE‹A,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21809,ANCASH,SANTA,NUEVO CHIMBOTE,PECHM,DIST. NACIONAL,-,2,URBANO,,x,
21401,ANCASH,OCROS,OCROS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20108,ANCASH,HUARAZ,OLLEROS ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20513,ANCASH,BOLOGNESI,PACLLON,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21508,ANCASH,PALLASCA,PALLASCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21206,ANCASH,HUAYLAS,PAMPAROMAS ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20109,ANCASH,HUARAZ,PAMPAS,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
21509,ANCASH,PALLASCA,PAMPAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21707,ANCASH,RECUAY,PAMPAS CHICO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21708,ANCASH,RECUAY,PARARIN ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20110,ANCASH,HUARAZ,PARIACOTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20607,ANCASH,CARHUAZ,PARIAHUANCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21603,ANCASH,POMABAMBA,PAROBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21010,ANCASH,HUARI,PAUCAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
20111,ANCASH,HUARAZ,PIRA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21301,ANCASH,MARISCAL LUZURIAGA,PISCOBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21601,ANCASH,POMABAMBA,POMABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21011,ANCASH,HUARI,PONTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21207,ANCASH,HUAYLAS,PUEBLO LIBRE,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21907,ANCASH,SIHUAS,QUICHES,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
22005,ANCASH,YUNGAY,QUILLO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21604,ANCASH,POMABAMBA,QUINUABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21908,ANCASH,SIHUAS,RAGASH,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21012,ANCASH,HUARI,RAHUAPAMPA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
22006,ANCASH,YUNGAY,RANRAHIRCA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21013,ANCASH,HUARI,RAPAYAN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
21701,ANCASH,RECUAY,RECUAY,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
21807,ANCASH,SANTA,SAMANCO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
21408,ANCASH,OCROS,SAN CRISTOBAL DE RAJAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21909,ANCASH,SIHUAS,SAN JUAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20306,ANCASH,ANTONIO RAYMONDI,SAN JUAN DE RONTOY,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
20701,ANCASH,CARLOS FERMIN FITZCARRALD,SAN LUIS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
21014,ANCASH,HUARI,SAN MARCOS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
