CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,A TRAVÉS DE,OBSERVACION
21004,ANCASH,HUARI,CHAVIN DE HUANTAR,PEANC,DIST. NACIONAL,-,2,LIM - CHN,ALEJADO
21801,ANCASH,SANTA,CHIMBOTE,PECHM,DIST. NACIONAL,-,1,LIM - CJA,ALEJADO
21905,ANCASH,SIHUAS,CHINGALPO,PEANC,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
20304,ANCASH,ANTONIO RAYMONDI,CHINGAS,PEANC,DIST. NACIONAL,-,3,LIM - HRZ,ALEJADO
20501,ANCASH,BOLOGNESI,CHIQUIAN,PEANC,DIST. NACIONAL,-,3,LIM - TPP,ALEJADO
20102,ANCASH,HUARAZ,COCHABAMBA,PEANC,DIST. NACIONAL,-,4,LIM - HNV,ALEJADO
21102,ANCASH,HUARMEY,COCHAPETI,PECHM,DIST. NACIONAL,-,2,LIM - HCH,ALEJADO
21405,ANCASH,OCROS,COCHAS,PEANC,DIST. NACIONAL,-,3,LIM - AND,ALEJADO
21803,ANCASH,SANTA,COISHCO,PECHM,DIST. NACIONAL,-,2,LIM - HUU,ALEJADO
20103,ANCASH,HUARAZ,COLCABAMBA,PEANC,DIST. NACIONAL,-,4,LIM - HYO,ALEJADO
20507,ANCASH,BOLOGNESI,COLQUIOC,PEANC,DIST. NACIONAL,-,3,LIM - CUZ,ALEJADO
20803,ANCASH,CASMA,COMANDANTE NOEL,PECHM,DIST. NACIONAL,-,2,LIM - AYP,ALEJADO
21503,ANCASH,PALLASCA,CONCHUCOS,PEANC,DIST. NACIONAL,-,3,LIM - CJA,ALEJADO
21406,ANCASH,OCROS,CONGAS,PEANC,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
20202,ANCASH,AIJA,CORIS,PEANC,DIST. NACIONAL,-,6,LIM - HNV,ALEJADO
20901,ANCASH,CORONGO,CORONGO,PEANC,DIST. NACIONAL,-,3,LIM - TCQ,ALEJADO
21703,ANCASH,RECUAY,COTAPARACO,PEANC,DIST. NACIONAL,-,2,LIM - AQP,ALEJADO
21103,ANCASH,HUARMEY,CULEBRAS,PECHM,DIST. NACIONAL,-,2,LIM - CJA,ALEJADO
20904,ANCASH,CORONGO,CUSCA,PEANC,DIST. NACIONAL,-,3,LIM - AND,ALEJADO
21303,ANCASH,MARISCAL LUZURIAGA,ELEAZAR GUZMAN BARRON,PEANC,DIST. NACIONAL,-,3,LIM - HYO,URBANO
21304,ANCASH,MARISCAL LUZURIAGA,FIDEL OLIVAS ESCUDERO,PEANC,DIST. NACIONAL,-,3,LIM - CIX,ALEJADO
21005,ANCASH,HUARI,HUACACHI,PEANC,DIST. NACIONAL,-,2,LIM - JAE,ALEJADO
21504,ANCASH,PALLASCA,HUACASCHUQUE,PEANC,DIST. NACIONAL,-,3,LIM - HUU,ALEJADO
21006,ANCASH,HUARI,HUACCHIS,PEANC,DIST. NACIONAL,-,2,LIM - AND,ALEJADO
21007,ANCASH,HUARI,HUACHIS,PEANC,DIST. NACIONAL,-,2,LIM - HYO,ALEJADO
20203,ANCASH,AIJA,HUACLLAN,PEANC,DIST. NACIONAL,-,6,LIM - LIM,ALEJADO
20508,ANCASH,BOLOGNESI,HUALLANCA,PEHRZ,DIST. NACIONAL,-,3,LIM - TPP,ALEJADO
21202,ANCASH,HUAYLAS,HUALLANCA,PEHRZ,DIST. NACIONAL,-,2,LIM - CHM,ALEJADO
20104,ANCASH,HUARAZ,HUANCHAY,PEANC,DIST. NACIONAL,-,2,LIM - TRU,ALEJADO
21505,ANCASH,PALLASCA,HUANDOVAL,PEANC,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
21008,ANCASH,HUARI,HUANTAR,PEANC,DIST. NACIONAL,-,2,LIM -CNT,ALEJADO
20101,ANCASH,HUARAZ,HUARAZ,PEHRZ,DIST. NACIONAL,-,1,LIM - JAE,ALEJADO
21001,ANCASH,HUARI,HUARI,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,URBANO
21101,ANCASH,HUARMEY,HUARMEY,PECHM,DIST. NACIONAL,-,2,LIM - PIU,ALEJADO
20509,ANCASH,BOLOGNESI,HUASTA,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
21203,ANCASH,HUAYLAS,HUATA,PEANC,DIST. NACIONAL,-,2,LIM - CHM,ALEJADO
21104,ANCASH,HUARMEY,HUAYAN,PECHM,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
21204,ANCASH,HUAYLAS,HUAYLAS,PEANC,DIST. NACIONAL,-,2,LIM - OYA,ALEJADO
21906,ANCASH,SIHUAS,HUAYLLABAMBA,PEANC,DIST. NACIONAL,-,3,LIM - TRU,ALEJADO
20510,ANCASH,BOLOGNESI,HUAYLLACAYAN,PEANC,DIST. NACIONAL,-,3,LIM - CUZ,ALEJADO
21602,ANCASH,POMABAMBA,HUAYLLAN,PEANC,DIST. NACIONAL,-,3,LIM - HNV,ALEJADO
21704,ANCASH,RECUAY,HUAYLLAPAMPA,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20105,ANCASH,HUARAZ,INDEPENDENCIA,PEHRZ,DIST. NACIONAL,-,1,LIM - TCQ,ALEJADO
20106,ANCASH,HUARAZ,JANGAS,PEANC,DIST. NACIONAL,-,2,LIM - JAE - BGR,ALEJADO
20107,ANCASH,HUARAZ,LA LIBERTAD,PEANC,DIST. NACIONAL,-,2,LIM - HRZ,ALEJADO
20204,ANCASH,AIJA,LA MERCED,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20905,ANCASH,CORONGO,LA PAMPA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
20511,ANCASH,BOLOGNESI,LA PRIMAVERA,PEANC,DIST. NACIONAL,-,3,LIM - CHM,ALEJADO
