CODIGO_UBIGEO,DEPARTAMENTO,PROVINCIA,DISTRITO,CODIGO_CIUDAD,SERVICIO,AEREO PROPUESTO,TERRESTRE PROPUESTO,OBSERVACION,tiempo_24,tiempo_72,tiempo_72_mas
021001,ANCASH,HUARI,HUARI,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021101,ANCASH,HUARMEY,HUARMEY,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
020509,ANCASH,BOLOGNESI,HUASTA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021203,ANCASH,HUAYLAS,HUATA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021104,ANCASH,HUARMEY,HUAYAN,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
021204,ANCASH,HUAYLAS,HUAYLAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021906,ANCASH,SIHUAS,HUAYLLABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020510,ANCASH,BOLOGNESI,HUAYLLACAYAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021602,ANCASH,POMABAMBA,HUAYLLAN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021704,ANCASH,RECUAY,HUAYLLAPAMPA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020105,ANCASH,HUARAZ,INDEPENDENCIA,PEHRZ,DIST. NACIONAL,-,1,URBANO,x,,
020106,ANCASH,HUARAZ,JANGAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020107,ANCASH,HUARAZ,LA LIBERTAD,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020204,ANCASH,AIJA,LA MERCED,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020905,ANCASH,CORONGO,LA PAMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020511,ANCASH,BOLOGNESI,LA PRIMAVERA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021506,ANCASH,PALLASCA,LACABAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021705,ANCASH,RECUAY,LLACLLIN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021305,ANCASH,MARISCAL LUZURIAGA,LLAMA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020301,ANCASH,ANTONIO RAYMONDI,LLAMELLIN,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021507,ANCASH,PALLASCA,LLAPO,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021407,ANCASH,OCROS,LLIPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021306,ANCASH,MARISCAL LUZURIAGA,LLUMPA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021307,ANCASH,MARISCAL LUZURIAGA,LUCMA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021804,ANCASH,SANTA,MACATE,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021105,ANCASH,HUARMEY,MALVAS,PECHM,DIST. NACIONAL,-,3,ALEJADO,,x,
022003,ANCASH,YUNGAY,MANCOS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020512,ANCASH,BOLOGNESI,MANGAS ,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021706,ANCASH,RECUAY,MARCA,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020606,ANCASH,CARHUAZ,MARCARA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021009,ANCASH,HUARI,MASIN,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
022004,ANCASH,YUNGAY,MATACOTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021205,ANCASH,HUAYLAS,MATO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020305,ANCASH,ANTONIO RAYMONDI,MIRGAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021805,ANCASH,SANTA,MORO,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021308,ANCASH,MARISCAL LUZURIAGA,MUSGA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021806,ANCASH,SANTA,NEPEÑA,PECHM,DIST. NACIONAL,-,2,ALEJADO,,x,
021809,ANCASH,SANTA,NUEVO CHIMBOTE,PECHM,DIST. NACIONAL,-,2,URBANO,,x,
021401,ANCASH,OCROS,OCROS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
020108,ANCASH,HUARAZ,OLLEROS ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020513,ANCASH,BOLOGNESI,PACLLON,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021508,ANCASH,PALLASCA,PALLASCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021206,ANCASH,HUAYLAS,PAMPAROMAS ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020109,ANCASH,HUARAZ,PAMPAS,PEHRZ,DIST. NACIONAL,-,2,ALEJADO,,x,
021509,ANCASH,PALLASCA,PAMPAS,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021707,ANCASH,RECUAY,PAMPAS CHICO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
021708,ANCASH,RECUAY,PARARIN ,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020110,ANCASH,HUARAZ,PARIACOTO,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
020607,ANCASH,CARHUAZ,PARIAHUANCA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021603,ANCASH,POMABAMBA,PAROBAMBA,PEANC,DIST. NACIONAL,-,3,ALEJADO,,x,
021010,ANCASH,HUARI,PAUCAS,PEANC,DIST. NACIONAL,-,2,ALEJADO,,x,
